"","Date","X.tx","Vol","mean_tx","mean_tdiff","var_tdiff","Transaction","Open_price","High_price","Low_Price","Close_Price","Ex_volume","Wt_Price","log_txcount","pricedelta","log_txcount_lag","pricedelta_lag","Ex_volume_lag","Ex_volume_lag.1","Transaction_lag","Wt_Price_lag","High_price_lag","ID"
"2","7/18/2010",612,3.60701e+12,5893805556,8453712.796,162839321.8,0.66,0.05941,0.08585,0.05941,0.08584,75.01,0.067884203,6.41673228251233,0.02643,6.21660610108486,0,20,20,0.09,0.04951,0.04951,1
"3","7/19/2010",556,4.71498e+12,8480170863,8475567.022,168367293.3,0.31,0.0909,0.09307,0.07723,0.0808,574,0.086517944,6.32076829425058,-0.0101,6.41673228251233,0.02643,75.01,75.01,0.66,0.067884203,0.08585,2
"4","7/20/2010",732,2.99023e+12,4085019126,8527094.175,224584628,0,0.08181,0.08181,0.07426,0.07474,262,0.078585954,6.59578051396131,-0.00706999999999999,6.32076829425058,-0.0101,574,574,0.31,0.086517944,0.09307,3
"5","7/21/2010",472,2.76545e+12,5859012712,8529135.729,26527226.98,0,0.07425,0.07921,0.06634,0.07921,575,0.073499478,6.15697898558556,0.00496000000000001,6.59578051396131,-0.00706999999999999,262,262,0,0.078585954,0.08181,4
"6","7/22/2010",295,3.96316e+12,13434447458,8523257.614,59749810.93,0,0.07921,0.08181,0.0505,0.0505,2160,0.060085315,5.68697535633982,-0.02871,6.15697898558556,0.00496000000000001,575,575,0,0.073499478,0.07921,5
"7","7/23/2010",304,2.06148e+12,6781180921,8513718.947,108194726.4,0.01,0.0505,0.06767,0.0505,0.06262,2402.5,0.058715942,5.71702770140622,0.01212,5.68697535633982,-0.02871,2160,2160,0,0.060085315,0.08181,6
"8","7/24/2010",1188,4.3742e+12,3681983165,8664871.846,11438664742,0,0.06161,0.06161,0.05049,0.05454,496.32,0.053851768,7.08002649992259,-0.00707,5.71702770140622,0.01212,2402.5,2402.5,0.01,0.058715942,0.06767,7
"9","7/25/2010",3264,4.70654e+12,1441955576,9131426.907,17768836718,2.87,0.05545,0.05941,0.0505,0.0505,1551.48,0.054826988,8.090708716084,-0.00495,7.08002649992259,-0.00707,496.32,496.32,0,0.053851768,0.06161,8
"10","7/26/2010",1225,8.69519e+12,7098111837,9267602.833,153733401,0.24,0.05,0.056,0.05,0.056,877,0.053485747,7.11069612297883,0.006,8.090708716084,-0.00495,1551.48,1551.48,2.87,0.054826988,0.05941,9
"11","7/27/2010",477,3.18992e+12,6687463312,9339439.084,1165360573,1.9,0.053,0.0605,0.053,0.06,3373.69,0.058368834,6.16751649088834,0.007,7.11069612297883,0.006,877,877,0.24,0.053485747,0.056,10
"12","7/28/2010",2434,6.75605e+12,2775699671,9450394.468,1349713781,0.17,0.06,0.062,0.054,0.0589,4390.29,0.058255649,7.79729127354747,-0.0011,6.16751649088834,0.007,3373.69,3373.69,1.9,0.058368834,0.0605,11
"13","7/29/2010",1751,1.90612e+12,1088591091,9470580.026,347735510.5,0.95,0.0597,0.0699,0.0571,0.0699,8058.49,0.06556046,7.46794233228585,0.0102,7.79729127354747,-0.0011,4390.29,4390.29,0.17,0.058255649,0.062,12
"14","7/30/2010",413,2.01618e+12,4881796610,9347929.397,539911929.3,1.04,0.0698,0.0698,0.0582,0.0627,3020.85,0.065719885,6.02344759296103,-0.0071,7.46794233228585,0.0102,8058.49,8058.49,0.95,0.06556046,0.0699,13
"15","7/31/2010",296,1.54335e+12,5214016892,9262092.882,279226658.2,0.41,0.065,0.06889,0.056,0.06785,4022.25,0.060637319,5.69035945432406,0.00284999999999999,6.02344759296103,-0.0071,3020.85,3020.85,1.04,0.065719885,0.0698,14
"16","8/1/2010",298,2.701e+13,90637657718,9182965.191,704371819.7,0.19,0.061,0.065,0.06,0.0611,2601,0.062531793,5.6970934865054,0.000100000000000003,5.69035945432406,0.00284999999999999,4022.25,4022.25,0.41,0.060637319,0.06889,15
"17","8/2/2010",314,6.35634e+12,20243111465,9092219.933,519976212.6,0.36,0.0627,0.0633,0.06,0.06,3599,0.061461678,5.74939298590825,-0.00270000000000001,5.6970934865054,0.000100000000000003,2601,2601,0.19,0.062531793,0.065,16
"18","8/3/2010",686,4.04836e+12,5901399417,9007101.777,401683895.9,0,0.06,0.065,0.059,0.06,9821.46,0.061706273,6.53087762772588,0,5.74939298590825,-0.00270000000000001,3599,3599,0.36,0.061461678,0.0633,17
