Date,#tx,Vol,mean_tx,mean_tdiff,var_tdiff,Transaction,Open_price,High_price,Low_Price,Close_Price,Ex_volume,Wt_Price
7/17/2010,501,2.40979E+12,4809956088,8440988.497,55409250.79,0.09,0.04951,0.04951,0.04951,0.04951,20,0.04951
7/18/2010,612,3.60701E+12,5893805556,8453712.796,162839321.8,0.66,0.05941,0.08585,0.05941,0.08584,75.01,0.067884203
7/19/2010,556,4.71498E+12,8480170863,8475567.022,168367293.3,0.31,0.0909,0.09307,0.07723,0.0808,574,0.086517944
7/20/2010,732,2.99023E+12,4085019126,8527094.175,224584628,0,0.08181,0.08181,0.07426,0.07474,262,0.078585954
7/21/2010,472,2.76545E+12,5859012712,8529135.729,26527226.98,0,0.07425,0.07921,0.06634,0.07921,575,0.073499478
7/22/2010,295,3.96316E+12,13434447458,8523257.614,59749810.93,0,0.07921,0.08181,0.0505,0.0505,2160,0.060085315
7/23/2010,304,2.06148E+12,6781180921,8513718.947,108194726.4,0.01,0.0505,0.06767,0.0505,0.06262,2402.5,0.058715942
7/24/2010,1188,4.3742E+12,3681983165,8664871.846,11438664742,0,0.06161,0.06161,0.05049,0.05454,496.32,0.053851768
7/25/2010,3264,4.70654E+12,1441955576,9131426.907,17768836718,2.87,0.05545,0.05941,0.0505,0.0505,1551.48,0.054826988
7/26/2010,1225,8.69519E+12,7098111837,9267602.833,153733401,0.24,0.05,0.056,0.05,0.056,877,0.053485747
7/27/2010,477,3.18992E+12,6687463312,9339439.084,1165360573,1.9,0.053,0.0605,0.053,0.06,3373.69,0.058368834
7/28/2010,2434,6.75605E+12,2775699671,9450394.468,1349713781,0.17,0.06,0.062,0.054,0.0589,4390.29,0.058255649
7/29/2010,1751,1.90612E+12,1088591091,9470580.026,347735510.5,0.95,0.0597,0.0699,0.0571,0.0699,8058.49,0.06556046
7/30/2010,413,2.01618E+12,4881796610,9347929.397,539911929.3,1.04,0.0698,0.0698,0.0582,0.0627,3020.85,0.065719885
7/31/2010,296,1.54335E+12,5214016892,9262092.882,279226658.2,0.41,0.065,0.06889,0.056,0.06785,4022.25,0.060637319
8/1/2010,298,2.701E+13,90637657718,9182965.191,704371819.7,0.19,0.061,0.065,0.06,0.0611,2601,0.062531793
8/2/2010,314,6.35634E+12,20243111465,9092219.933,519976212.6,0.36,0.0627,0.0633,0.06,0.06,3599,0.061461678
8/3/2010,686,4.04836E+12,5901399417,9007101.777,401683895.9,0,0.06,0.065,0.059,0.06,9821.46,0.061706273
8/4/2010,357,3.36365E+12,9421974790,8930216.283,535610258.4,0,0.06229,0.06231,0.057,0.057,3494,0.060322012
8/5/2010,807,4.0802E+12,5056011152,8842954.808,267508794.8,0,0.0581,0.061,0.058,0.061,5034.07,0.06031086
8/6/2010,408,1.8582E+12,4554414216,8772989.544,808629017.4,0,0.062,0.0624,0.0607,0.0623,1395,0.061582796
8/7/2010,389,2.52729E+12,6496894602,8688523.617,848097028.2,2.31,0.0608,0.0622,0.059,0.059,2619,0.06007667
8/8/2010,323,1.03351E+12,3199705882,8587728.22,704150093.8,0,0.059,0.061,0.059,0.0609,2201,0.060243253
8/9/2010,1400,7.73632E+12,5525944286,8491736.309,222959196.6,0,0.06091,0.0735,0.0593,0.071,13631.09,0.065066896
8/10/2010,289,3.38719E+12,11720363322,8423306.495,568306524.3,4.32,0.068,0.0709,0.06651,0.07,1310.39,0.067822276
8/11/2010,383,5.48874E+12,14330916449,8339433.512,345927365.8,0,0.06,0.07541,0.06,0.067,14061.18,0.072230189
8/12/2010,260,1.57028E+12,6039550000,8259873.85,662990802.6,0,0.068,0.07,0.06141,0.07,2062.31,0.065211937
8/13/2010,689,3.50626E+12,5088910015,8197073.775,505909447.2,0,0.0665,0.068,0.0645,0.0645,3591.77,0.065093376
8/14/2010,434,1.62017E+12,3733119816,8098464.429,400883785.4,0,0.0655,0.0695,0.0645,0.067,4404.2,0.06705156
